Wall time,Step,Value
1683464081.9499586,67310,21.47429084777832
1683464083.1756797,67530,21.515727996826172
1683464084.0333858,67680,21.319459915161133
1683464085.4974692,67940,21.043174743652344
1683464086.4479272,68110,20.969898223876953
1683464087.8043003,68350,20.99399185180664
1683464088.8375354,68530,21.178733825683594
1683464092.9794571,69260,21.09551429748535
1683464096.1918645,69820,21.154874801635742
1683464097.2171223,70000,21.232730865478516
1683464100.364703,70550,21.45353889465332
1683464103.1233242,71030,21.554248809814453
1683464104.184486,71220,21.5174503326416
1683464106.0834072,71550,21.55324363708496
1683464107.5484881,71810,21.638580322265625
1683464108.382258,71960,21.864694595336914
1683464110.3749278,72310,22.11461067199707
1683464111.649519,72540,21.98355484008789
1683464113.1784294,72810,22.276756286621094
1683464115.3655794,73190,22.323572158813477
1683464116.4895728,73390,22.265615463256836
1683464118.956973,73820,22.41361427307129
1683464119.4137516,73900,22.42184066772461
1683464122.1963093,74390,22.26416015625
1683464124.5679653,74810,22.33909797668457
1683464125.0995433,74900,22.167577743530273
1683464126.9515893,75230,21.9683837890625
1683464127.6896152,75360,21.828123092651367
1683464129.0330226,75600,21.692508697509766
1683464130.9778209,75940,21.81673240661621
1683464133.4332526,76380,21.762880325317383
1683464135.4807758,76740,22.11353874206543
1683464136.7703269,76970,22.18985939025879
1683464137.4006407,77080,22.279903411865234
1683464138.9754288,77360,22.317913055419922
1683464140.1353261,77560,22.183320999145508
1683464142.4481397,77970,22.278404235839844
1683464143.4883575,78150,22.453250885009766
1683464144.626314,78350,22.471879959106445
1683464146.243987,78630,22.5244083404541
1683464152.4653466,79730,23.2150821685791
1683464157.2495499,80570,24.193845748901367
1683464158.5540605,80800,24.432004928588867
1683464161.6777062,81350,24.763402938842773
1683464162.5812888,81510,25.175703048706055
1683464165.819627,82080,25.38150978088379
1683464174.5602484,83610,25.90680503845215
1683464175.241426,83730,25.710859298706055
1683464178.9963822,84390,25.827112197875977
1683464180.4614637,84650,25.691654205322266
1683464181.15461,84770,25.58841896057129
1683464182.9288638,85080,25.459503173828125
1683464184.7978647,85410,25.18297004699707
1683464187.5265658,85890,25.33962631225586
1683464190.1665049,86350,25.336084365844727
1683464193.034833,86850,24.955322265625
1683464195.1132736,87220,24.470531463623047
1683464198.6847217,87850,24.197128295898438
1683464203.1936605,88650,24.187658309936523
1683464204.6128654,88900,24.114946365356445
1683464205.8026817,89110,24.13202476501465
1683464207.0762753,89330,24.069002151489258
1683464210.2657447,89890,24.13119125366211
1683464210.8840904,90000,24.51778221130371
1683464214.6021454,90660,25.02039909362793
1683464216.4960809,90990,25.140867233276367
1683464218.4059713,91330,25.02625846862793
1683464222.2816048,92010,24.563350677490234
1683464225.4162202,92570,24.465673446655273
1683464226.882299,92830,24.656829833984375
1683464228.1259725,93050,24.826452255249023
1683464228.9108732,93190,24.761333465576172
1683464230.156541,93410,24.520050048828125
1683464232.3546624,93790,24.547061920166016
1683464233.533509,94000,24.579879760742188
1683464234.509897,94170,24.590795516967773
1683464235.7515757,94390,24.564828872680664
1683464236.9403965,94600,24.452632904052734
1683464237.9716377,94780,24.344892501831055
1683464239.205338,95000,24.12101173400879
1683464241.372541,95390,23.431928634643555
1683464243.5098243,95770,22.994504928588867
1683464244.9030976,96020,22.810867309570312
1683464248.138444,96590,22.764575958251953
1683464249.0699522,96760,22.814712524414062
1683464254.1772916,97660,22.951738357543945
1683464257.4375708,98240,22.271442413330078
1683464258.4478686,98420,22.375423431396484
1683464261.1695895,98910,22.408105850219727
1683464262.1938493,99090,22.523595809936523
1683464264.565506,99510,22.73951530456543
1683464266.8035195,99910,23.09107208251953
1683464271.0114517,100550,23.253530502319336
1683464271.9858456,100720,23.309356689453125
1683464279.0559347,101960,23.803442001342773
1683464282.1177447,102500,23.56456756591797
1683464283.4970558,102740,23.510515213012695
1683464284.8753693,102980,23.884838104248047
1683464286.1788824,103210,23.993316650390625
1683464287.411585,103430,24.079710006713867
1683464288.289239,103580,24.078075408935547
1683464289.719413,103830,24.15896224975586
1683464292.5677948,104330,24.31098747253418
1683464293.9121976,104560,24.618328094482422
1683464294.7599301,104710,24.889320373535156
1683464296.0664368,104940,25.057634353637695
1683464296.9779973,105100,25.040363311767578
1683464298.5737293,105380,25.204078674316406
1683464300.0826936,105650,25.343769073486328
1683464304.585649,106440,25.56035804748535
1683464306.1005964,106710,25.697826385498047
